대학명,지역,수도권/지방,설립유형,대표/비교,분석그룹,선정이유,비고
서울대학교,서울,수도권,국립,대표대학,수도권-국립-대표,수도권 국립 대표대학,국립 최상위권 대학
서울과학기술대학교,서울,수도권,국립,대표대학,수도권-국립-대표,수도권 국립 공학계열 중심 대학,서울 소재 국립대 사례
연세대학교,서울,수도권,사립,대표대학,수도권-사립-대표,수도권 주요 사립대학,인지도 높은 사립대
고려대학교,서울,수도권,사립,대표대학,수도권-사립-대표,수도권 주요 사립대학,인지도 높은 사립대
성균관대학교,서울,수도권,사립,대표대학,수도권-사립-대표,수도권 주요 사립대학,서울·경기 캠퍼스 보유
강서대학교,서울,수도권,사립,비교대학,수도권-사립-비교,수도권 일반 사립대학 비교 사례,소규모 사립대 사례
협성대학교,경기,수도권,사립,비교대학,수도권-사립-비교,수도권 일반 사립대학 비교 사례,경기권 사립대 사례
평택대학교,경기,수도권,사립,비교대학,수도권-사립-비교,수도권 일반 사립대학 비교 사례,경기권 사립대 사례
부산대학교,부산,지방,국립,대표대학,지방-국립-대표,지방 거점국립대학,부산권 대표 국립대
경북대학교,대구,지방,국립,대표대학,지방-국립-대표,지방 거점국립대학,대구·경북권 대표 국립대
충남대학교,대전,지방,국립,대표대학,지방-국립-대표,지방 거점국립대학,충청권 대표 국립대
부경대학교,부산,지방,국립,대표대학,지방-국립-대표,지방 국립대학 비교 사례,부산권 국립대
경상국립대학교,경남,지방,국립,대표대학,지방-국립-대표,지방 국립대학 비교 사례,경남권 국립대
동아대학교,부산,지방,사립,대표대학,지방-사립-대표,지방 주요 사립대학,부산권 대표 사립대
울산대학교,울산,지방,사립,대표대학,지방-사립-대표,지방 주요 사립대학,울산권 대표 사립대
대구대학교,경북,지방,사립,대표대학,지방-사립-대표,지방 주요 사립대학,대구·경북권 사립대
부산외국어대학교,부산,지방,사립,대표대학,지방-사립-대표,사용자 소속 대학 및 지방 사립대 사례,프로젝트 관심 대학
경성대학교,부산,지방,사립,대표대학,지방-사립-대표,지방 주요 사립대학,부산권 사립대
창신대학교,경남,지방,사립,비교대학,지방-사립-비교,지방 일반 사립대학 비교 사례,경남권 사립대
동명대학교,부산,지방,사립,비교대학,지방-사립-비교,지방 일반 사립대학 비교 사례,부산권 사립대
한남대학교,대전,지방,사립,비교대학,지방-사립-비교,지방 일반 사립대학 비교 사례,대전권 사립대
영산대학교,경남,지방,사립,비교대학,지방-사립-비교,지방 일반 사립대학 비교 사례,경남·부산 캠퍼스 보유
